GEOID,NAME,inc_n,fem_n,sexf_n,inc_pct,gi_z,gi,lisa,lisa_sig,streetlight_n,poor_pave_ft,street_ft,sidewalk_n,dist_subway_km,vacant_n,aband_n,poverty_rate,renter_share,vacancy_rate,female_pop,total_pop
36005037600,Census Tract 376; Bronx County; New York,88,28,0,4.160756501182033,1.1704984882470337,Not significant,Not significant,Not significant,31,6356.679311374799,45870.0695761326,12,0.3923850113982767,2,1,0.23782505910165486,0.6571056062581486,0.050742574257425746,951,2115
36081015900,Census Tract 159; Queens County; New York,135,35,0,3.6496350364963503,-0.2757988337737618,Not significant,Not significant,Not significant,32,8222.62772477308,66005.55985810945,35,0.23232137602252279,5,0,0.09137604758042714,0.884256719692814,0.15090824406148112,1780,3699
36081008800,Census Tract 88; Queens County; New York,185,64,0,5.02854036422941,0.1234183166891984,Not significant,Not significant,Not significant,75,79437.84959870316,205070.50609099751,24,0.2806449439497859,48,2,0.049162318044493274,0.3777596075224857,0.0407843137254902,1890,3679
36081010400,Census Tract 104; Queens County; New York,143,38,0,3.8174052322477308,-0.011959600655544318,Not significant,Not significant,Not significant,33,786.1072120287578,72345.26864068488,16,0.33713993847313684,2,1,0.12578444747612552,0.37749546279491836,0.02907488986784141,1775,3746
36081012301,Census Tract 123.01; Queens County; New York,207,61,0,6.192043075082261,-0.8587452033637762,Not significant,Not significant,Not significant,96,22508.39208266345,249013.22662502373,48,1.0950308857619748,10,0,0.03756009615384615,0.6032329169728141,0.07162346521145975,1807,3343
36081014000,Census Tract 140; Queens County; New York,94,36,0,2.1320027217056023,-1.3098599521253202,Not significant,Not significant,Not significant,55,10824.526429569061,106398.94083470675,22,0.36692043251305745,12,0,0.04131476831773568,0.6434782608695652,0.0483768300445576,2041,4409
36081015300,Census Tract 153; Queens County; New York,95,32,0,5.216913783635365,-0.7922327521481582,Not significant,Not significant,Not significant,31,802.9909598829385,37528.27258054116,30,0.19824244906294725,11,8,0.13229571984435798,0.7923728813559322,0.1410373066424022,964,1821
36081001600,Census Tract 16; Queens County; New York,98,28,0,3.69811320754717,-1.0610059514586263,Not significant,Not significant,Not significant,30,182.11476987105289,59484.330691354015,17,0.5322010455216307,2,4,0.14452830188679244,0.37236842105263157,0.06748466257668712,1449,2650
36081003800,Census Tract 38; Queens County; New York,102,39,0,4.668192219679634,-1.1458996624284477,Not significant,Not significant,Not significant,39,6126.64492769991,95070.94421139533,25,0.5747582898854289,5,1,0.11675824175824176,0.5527065527065527,0.040983606557377046,1016,2185
36081033401,Census Tract 334.01; Queens County; New York,126,55,0,3.2077393075356415,-1.0631139157954248,Not significant,Not significant,Not significant,66,42164.35455137162,216598.3579954588,9,3.821478704090402,27,8,0.16726069246435846,0.5793598954931417,0,2494,3928
36081018900,Census Tract 189; Queens County; New York,97,44,0,3.1229877656149387,-1.0836746870047709,Not significant,Not significant,Not significant,25,6431.53601881514,95475.93429344785,42,0.5308516667860483,4,0,0.0912314635718891,0.6928675400291121,0.15653775322283608,1537,3106
36081023800,Census Tract 238; Queens County; New York,247,65,0,5.486450466459352,2.178142569642079,Hot 95%,High-High,p <= 0.05,29,5816.92592854205,60902.31806859957,22,0.1436683176249163,6,0,0.23225806451612904,0.9353988134475939,0.07273838630806846,2130,4502
36081026100,Census Tract 261; Queens County; New York,224,65,0,3.1219512195121952,0.036581710268144746,Not significant,Not significant,Not significant,69,12060.429831426272,92919.56080160297,36,0.26680486794889857,6,5,0.06051267684549657,0.8806270096463023,0.018153117600631413,3905,7175
36081027400,Census Tract 274; Queens County; New York,49,21,0,2.6189203634420095,-1.5327000779108815,Cold 95%,Low-Low,p <= 0.05,8,5734.862051066932,67893.9614222218,7,2.1805628815897933,4,4,0.18492784607161947,0.1689291101055807,0.03773584905660377,1027,1871
36081028000,Census Tract 280; Queens County; New York,38,19,0,2.21316249271986,-1.7549731762113239,Cold 95%,Low-Low,p <= 0.01,39,4906.724552336208,58643.18951446591,9,2.37295062556907,6,3,0.1322073383808969,0.45863309352517984,0.02112676056338028,868,1717
36081028700,Census Tract 287; Queens County; New York,297,80,0,4.624727499221426,3.0509508146315385,Hot 95%,High-High,p <= 0.05,52,7238.819601481159,67386.51064600633,43,0.48689792856170405,0,0,0.22999065711616318,0.6754152823920265,0.05017355632691701,3224,6422
36081051000,Census Tract 510; Queens County; New York,60,21,0,4.026845637583893,-1.6185823720550718,Cold 95%,Low-Low,p <= 0.05,27,8064.458837230099,94503.49399274868,8,2.5656827722326474,4,2,0.23087248322147652,0.2857142857142857,0.12320328542094455,836,1490
36081052100,Census Tract 521; Queens County; New York,54,16,0,2.933188484519283,-1.2996211472757955,Not significant,Not significant,Not significant,86,3251.7448480890653,54119.16855338991,9,1.4619271474522777,5,0,0.1732753938077132,0.4514200298953662,0.05907172995780591,1048,1841
36081053800,Census Tract 538; Queens County; New York,30,12,0,1.750291715285881,-1.3642736098676074,Not significant,Not significant,Not significant,23,10582.450479087074,84733.42793376696,11,3.555113281376508,4,4,0.05235294117647059,0.21462264150943397,0.09012875536480687,938,1714
36081041500,Census Tract 415; Queens County; New York,246,82,0,6.151537884471118,0.4473498272366358,Not significant,Not significant,Not significant,32,3501.3468725961025,63460.9114299327,20,0.5794487455836287,6,0,0.2345020325203252,0.6768060836501901,0,1787,3999
36081046300,Census Tract 463; Queens County; New York,503,336,263,12.512437810945274,1.0299584296177262,Not significant,Not significant,Not significant,68,7379.356085898525,61511.56108537008,14,0.586485807056718,5,0,0.12421738041572752,0.8160597572362278,0.12997562956945571,2053,4020
36081047900,Census Tract 479; Queens County; New York,164,47,0,2.7188328912466844,-0.3435181736383093,Not significant,Not significant,Not significant,182,17777.90564952327,139667.75731334928,38,0.5656497910305294,5,0,0.2111054680887083,0.6861506055818852,0.08127721335268505,3178,6032
36081050600,Census Tract 506; Queens County; New York,35,16,0,2.327127659574468,-2.076770229767481,Cold 99%,Low-Low,p <= 0.001,23,3430.084509456198,80564.16747198626,11,2.1798144447827945,3,1,0.12965425531914893,0.2533632286995516,0.1220472440944882,827,1504
36081060000,Census Tract 600; Queens County; New York,25,15,0,2.208480565371025,-1.8141469954022977,Cold 99%,Low-Low,p <= 0.001,24,1988.5692517385419,74057.61366752646,5,4.7035122296982195,1,1,0.06448763250883392,0.19955654101995565,0.06041666666666667,605,1132
